,V1
S3326,immunodeficiency with hyper-igm, type 3
S3327,immunodeficiency with hyper-igm, type 1
S3328,measles
S3329,cd59 deficiency
S3330,dermatitis, perioral
S3331,agammaglobulinemia 6, autosomal recessive
S3332,radiodermatitis
S3333,cd8 deficiency, familial
S3334,c syndrome
S3335,anemia, dyserythropoietic, congenital
S3336,corneal dystrophy, thiel-behnke type
S3337,meier-gorlin syndrome
S3338,prostate cancer, familial
S3339,mental retardation, autosomal dominant 3
S3340,usher syndrome, type 1d
S3341,ectodermal dysplasia, ectrodactyly, and macular dystrophy
S3342,juvenile macular degeneration and hypotrichosis
S3343,cone-rod dystrophy 15
S3344,melanoma, cutaneous malignant, susceptibility to, 3
S3345,microcephaly 3, primary, autosomal recessive
S3346,epileptic encephalopathy, early infantile, 2
S3347,rett syndrome
S3348,multiple endocrine neoplasia, type iv
S3349,beckwith-wiedemann syndrome
S3350,li-fraumeni syndrome
S3351,melanoma astrocytoma syndrome
S3352,melanoma, cutaneous malignant, susceptibility to, 2
S3353,melanoma-pancreatic cancer syndrome
S3354,vulvar lichen sclerosus
S3355,hypotrichosis 2
S3356,specific granule deficiency
S3357,maturity-onset diabetes of the young, type 8, with exocrine dysfunction
S3358,exocrine pancreatic insufficiency
S3359,microcephaly 6, primary, autosomal recessive
S3360,seckel syndrome 4
S3361,microcephaly 4, primary, autosomal recessive
S3362,joubert syndrome 5
S3363,leber congenital amaurosis 10
S3364,meckel syndrome, type 4
S3365,senior-loken syndrome 6
S3366,retinitis pigmentosa 26
S3367,coproporphyria
S3368,hyperalphalipoproteinemia 1
S3369,conotruncal heart malformations
S3370,heterotaxy, visceral, 2, autosomal
S3371,basal laminar drusen
S3372,complement factor h deficiency
S3373,macular degeneration, age-related, 4
S3374,complement factor i deficiency
S3375,nemaline myopathy 7
S3376,lymphoma, extranodal nk-t-cell
S3377,cystic fibrosis, modifier of, 1
S3378,properdin deficiency, x-linked
S3379,bronchiectasis with or without elevated sweat chloride 1
S3380,congenital bilateral aplasia of vas deferens
S3381,hereditary pancreatitis
S3382,congenital myasthenic syndrome with episodic apnea
S3383,charge association--coloboma, heart anomaly, choanal atresia, retardation, genital and ear anomalies
S3384,charge syndrome
S3385,kallmann syndrome
S3386,scoliosis, idiopathic, susceptibility to, 3
S3387,asthma-related traits, susceptibility to, 7
S3388,choroideremia
S3389,frontotemporal dementia, chromosome 3-linked
S3390,frontotemporal lobar degeneration
S3391,cataract, posterior polar, 3
S3392,multiple pterygium syndrome, lethal type
S3393,myasthenic syndrome, congenital, fast-channel
S3394,myasthenic syndrome, congenital, postsynaptic slow-channel
S3395,epilepsy, nocturnal frontal lobe, type 4
S3396,epilepsy, frontal lobe
S3397,epilepsy, nocturnal frontal lobe, type 1
S3398,myasthenic syndrome, congenital, associated with acetylcholine receptor deficiency
S3399,epilepsy, nocturnal frontal lobe, type 3
S3400,multiple pterygium syndrome
S3401,ehlers-danlos syndrome, musculocontractural type
S3402,joint instability
S3403,spondyloepiphyseal dysplasia with congenital joint dislocations
S3404,macular dystrophy, corneal type 1
S3405,cocoon syndrome
S3406,usher syndrome, type ij
S3407,bare lymphocyte syndrome 2
S3408,north american indian childhood cirrhosis
S3409,wolfram syndrome
S3410,cervical dystonia, primary
S3411,cold-induced sweating syndrome 1
S3412,myotonia congenita, autosomal dominant
S3413,myotonia congenita, autosomal recessive
S3414,epilepsy juvenile absence
S3415,dent disease 1
S3416,hypophosphatemic rickets, x-linked recessive
S3417,low molecular weight proteinuria with hypercalciuria and nephrocalcinosis
S3418,nephrolithiasis, x-linked recessive, with renal failure
S3419,osteopetrosis,  autosomal recessive 4
S3420,bartter syndrome, type 4b
S3421,bartter syndrome, type 3
S3422,ichthyosis, leukocyte vacuoles, alopecia, and sclerosing cholangitis
S3423,hypomagnesemia 3, renal
S3424,hypomagnesemia 5, renal, with ocular involvement
S3425,dengue hemorrhagic fever
S3426,candidiasis familial chronic mucocutaneous, autosomal recessive
S3427,ceroid lipofuscinosis, neuronal 3, juvenile
S3428,ceroid lipofuscinosis, neuronal 5
S3429,ceroid lipofuscinosis, neuronal, 6
S3430,ceroid lipofuscinosis, neuronal 8
S3431,ceroid lipofuscinosis, neuronal 9
S3432,usher syndrome, type iiia
S3433,familial dilated cardiomyopathy
S3434,cardiomyopathy, dilated, 1c
S3435,melanoma, cutaneous malignant, susceptibility to, 1
S3436,dystrophia myotonica 2
S3437,carney complex
S3438,homocarnosinosis
S3439,achromatopsia 2
S3440,achromatopsia 3
S3441,jalili syndrome
S3442,myopathy, congenital, compton-north
S3443,cortical dysplasia-focal epilepsy syndrome
S3444,pitt-hopkins syndrome
S3445,deafness, autosomal dominant 9
S3446,congenital disorder of glycosylation, type 2g
S3447,congenital disorder of glycosylation, type iij
S3448,congenital disorder of glycosylation, type iii
S3449,congenital disorder of glycosylation type 2e
S3450,congenital disorder of glycosylation, type iih
S3451,metaphyseal chondrodysplasia schmid type
S3452,marshall syndrome
S3453,stickler syndrome, type 2
S3454,deafness, autosomal dominant 13
S3455,deafness, autosomal recessive 53
S3456,nance sweeney chondrodysplasia
S3457,otospondylomegaepiphyseal dysplasia
S3458,pierre robin syndrome with fetal chondrodysplasia
S3459,stickler syndrome, type 3
S3460,epidermolysis bullosa, junctional, non-herlitz type
S3461,knobloch syndrome
S3462,ehlers-danlos syndrome type 1
S3463,ehlers-danlos syndrome, type vii, autosomal dominant
S3464,osteogenesis imperfecta
S3465,osteogenesis imperfecta, type 2a
S3466,osteogenesis imperfecta, type 3
S3467,osteogenesis imperfecta, type 4
S3468,ehlers-danlos syndrome, cardiac valvular form
S3469,achondrogenesis type 2
S3470,epiphyseal dysplasia, multiple, with myopia and conductive deafness
S3471,hyaloideoretinal degeneration of wagner
S3472,kniest dysplasia
S3473,legg-calve-perthes disease
S3474,osteoarthritis with mild chondrodysplasia
S3475,platyspondylic lethal skeletal dysplasia, torrance type
S3476,spondyloepiphyseal dysplasia, congenita
S3477,spondylometaphyseal dysplasia, kozlowski type
S3478,spondyloperipheral dysplasia
S3479,stickler syndrome, type 1
S3480,stickler syndrome, type i, nonsyndromic ocular
S3481,strudwick syndrome
S3482,ehlers-danlos syndrome type 3
S3483,ehlers danlos syndrome type 4, autosomal dominant
S3484,angiopathy, hereditary, with nephropathy, aneurysms, and muscle cramps
S3485,brain small vessel disease with hemorrhage
S3486,familial porencephaly
S3487,alport syndrome, recessive type
S3488,hematuria, benign familial
S3489,nephritis, hereditary
S3490,alport syndrome, x-linked
S3491,leiomyoma, epithelioid
S3492,leiomyomatosis, diffuse, with alport syndrome
S3493,ehlers-danlos syndrome type 2
S3494,bethlem myopathy
S3495,ossification of the posterior longitudinal ligament of the spine
S3496,scleroatonic muscular dystrophy
S3497,myosclerosis, autosomal recessive
S3498,epidermolysis bullosa dystrophica, autosomal recessive
S3499,epidermolysis bullosa dystrophica, pasini type
S3500,epidermolysis bullosa, pretibial
S3501,epidermolysis bullosa pruriginosa
S3502,epidermolysis bullosa with congenital localized absence of skin and deformity of nails
S3503,nail disorder, nonsyndromic congenital, 8
S3504,transient bullous dermolysis of the newborn
S3505,corneal dystrophy, fuchs&apos; endothelial, 1
S3506,corneal dystrophy, posterior polymorphous, 1
S3507,corneal dystrophy, posterior polymorphous, 2
S3508,epiphyseal dysplasia, multiple, 2
S3509,epiphyseal dysplasia, multiple, 3
S3510,carnevale syndrome
S3511,malpuech facial clefting syndrome
S3512,oculopalatoskeletal syndrome
S3513,endplate acetylcholinesterase deficiency
S3514,epiphyseal dysplasia, multiple, 1
S3515,fairbank disease
S3516,pseudoachondroplasia
S3517,digeorge syndrome
S3518,exocrine pancreatic insufficiency, dyserythropoietic anemia, and calvarial hyperostosis
S3519,mitochondrial complex iv deficiency
S3520,pasteurellaceae infections
S3521,carboxypeptidase n deficiency
S3522,alveolar capillary dysplasia
S3523,carbamoyl-phosphate synthase i deficiency disease
S3524,carnitine palmitoyl transferase 1a deficiency
S3525,carnitine palmitoyltransferase ii deficiency, infantile
S3526,carnitine palmitoyltransferase ii deficiency, late-onset
S3527,carnitine palmitoyltransferase ii deficiency, lethal neonatal
S3528,leber congenital amaurosis
S3529,pigmented paravenous chorioretinal atrophy
S3530,retinal telangiectasis
S3531,retinitis pigmentosa 12
S3532,mental retardation, autosomal recessive 2
S3533,histiocytoma, angiomatoid fibrous
S3534,rubinstein-taybi syndrome
S3535,atrioventricular septal defect, partial, with heterotaxy syndrome
S3536,intraoperative awareness
S3537,crisponi syndrome
S3538,purine-pyrimidine metabolism, inborn errors
S3539,osteogenesis imperfecta, type 7
S3540,cone-rod dystrophy 2
S3541,alpha-b crystallinopathy
S3542,cataract, congenital zonular, with sutural opacities
S3543,cataract, lamellar 2
S3544,microphthalmia, isolated, with cataract 4
S3545,cataract, congenital nuclear, autosomal recessive 3
S3546,cataract, congenital, cerulean type, 2
S3547,cataract, coppock-like
S3548,cataract, sutural, with punctate and cerulean opacities
S3549,cataract, congenital nuclear, autosomal recessive 2
S3550,cataract, congenital, cerulean type, 3
S3551,cataract congenital dominant non nuclear
S3552,cataract, crystalline aculeiform
S3553,neoplasm, residual
S3554,surfactant metabolism dysfunction, pulmonary, 4
S3555,surfactant metabolism dysfunction, pulmonary, 1
S3556,neutrophilia, hereditary
S3557,silver-russell syndrome
S3558,cardiomyopathy, dilated, 1m
S3559,cardiomyopathy, familial hypertrophic, 12
S3560,cerebral amyloid angiopathy, familial
S3561,macular degeneration, age-related, 11
S3562,gastric antral vascular ectasia
S3563,congenital cataracts, facial dysmorphism, and neuropathy
S3564,gamma-cystathionase deficiency
S3565,diabetes mellitus, insulin-dependent, 12
S3566,pilomatrixoma
S3567,cystinosis, late-onset juvenile or adolescent nephropathic type
S3568,cystinosis, ocular nonnephropathic
S3569,nephropathic cystinosis
S3570,neuraminidase deficiency with beta-galactosidase deficiency
S3571,keratosis palmoplantaris with periodontopathia and onychogryposis
S3572,ceroid lipofuscinosis, neuronal, 10
S3573,optic atrophy, autosomal dominant
S3574,tuberculosis, miliary
S3575,pycnodysostosis
S3576,mental retardation, x-linked, with short stature, hypogonadism, and abnormal gait
S3577,three m syndrome 1
S3578,basal ganglia disease, biotin-responsive
S3579,chronic periodontitis
S3580,trimethylaminuria
S3581,whim syndrome
S3582,methemoglobinemia type iv
S3583,nadh cytochrome b5 reductase deficiency
S3584,granulomatous disease, chronic
S3585,granulomatous disease, chronic, autosomal recessive, cytochrome b-negative
S3586,granulomatous disease, chronic, x-linked
S3587,heredodegenerative disorders, nervous system
S3588,familial cylindromatosis
S3589,trichoepithelioma, multiple familial, 1
S3590,46, xy disorders of sex development
S3591,lipoid congenital adrenal hyperplasia
S3592,congenital adrenal hyperplasia due to 11-beta-hydroxylase deficiency
S3593,glucocorticoid-remediable aldosteronism
S3594,18-hydroxylase deficiency
S3595,adrenal hyperplasia, congenital, type 5
S3596,aromatase deficiency
S3597,sexual infantilism
S3598,ischemic contracture
S3599,skin and connective tissue diseases
S3600,upper extremity deep vein thrombosis
S3601,glaucoma 1, open angle, a
S3602,glaucoma 3, primary congenital, a
S3603,glaucoma, primary open angle
S3604,congenital adrenal hyperplasia due to 21 hydroxylase deficiency
S3605,xanthomatosis, cerebrotendinous
S3606,vitamin d hydroxylation-deficient rickets, type 1a
S3607,coumarin resistance
S3608,drug metabolism, poor, cyp2c19-related
S3609,invasive pulmonary aspergillosis
S3610,neuroaspergillosis
S3611,paracoccidioidomycosis
S3612,exsanguination
S3613,drug metabolism, poor, cyp2d6-related
S3614,vitamin d hydroxylation-deficient rickets, type 1b
S3615,hemangioma, capillary
S3616,uterine cervical incompetence
S3617,ventricular septal rupture
S3618,lamellar ichthyosis, type 3
S3619,bietti&apos;s crystalline dystrophy
S3620,spastic paraplegia, hereditary
S3621,chondroma
S3622,d-2-hydroxyglutaric aciduria 1
S3623,leukoencephalopathy with brainstem and spinal cord involvement and lactate elevation
S3624,dopamine beta hydroxylase deficiency
S3625,woodhouse sakati syndrome
S3626,mirror movements 1
S3627,dyslexia
S3628,reticuloendotheliosis, familial, with eosinophilia
S3629,severe combined immunodeficiency with sensitivity to ionizing radiation
S3630,corneal dystrophy, congenital stromal
S3631,dysplastic nevus syndrome
S3632,neuronopathy, distal hereditary motor, type viib
S3633,perry syndrome
S3634,lissencephaly, x-linked, 1
S3635,pentosuria
S3636,xeroderma pigmentosum, complementation group e
S3637,aromatic amino acid decarboxylase deficiency
S3638,liposarcoma, myxoid
S3639,spondylometaepiphyseal dysplasia, short limb-hand type
S3640,warsaw breakage syndrome
S3641,peutz-jeghers syndrome
S3642,wagr syndrome
S3643,hypotonia-cystinuria syndrome
S3644,chromosome xp11.3 deletion syndrome
S3645,epilepsy, partial, with variable foci
S3646,cardiomyopathy, dilated, 1i
S3647,myopathy, myofibrillar, 1
S3648,scapuloperoneal syndrome, neurogenic, kaeser type
S3649,deafness, autosomal dominant 5
S3650,deafness, autosomal recessive 31
S3651,usher syndrome, type iid
S3652,deafness, autosomal recessive 59
S3653,desmosterolosis
S3654,46,xy gonadal dysgenesis, complete or partial, dhh-related
S3655,46,xy gonadal dysgenesis, partial, with minifascicular neuropathy
S3656,deafness, autosomal dominant 1
S3657,premature ovarian failure 2a
S3658,auditory neuropathy, autosomal dominant, 1
S3659,pleuropulmonary blastoma
S3660,mental retardation, fra12a type
S3661,nephroblastomatosis, fetal ascites, macrosomia and wilms tumor
S3662,dyskeratosis congenita
S3663,hoyeraal hreidarsson syndrome
S3664,pyruvate dehydrogenase e2 deficiency
S3665,spondylocostal dysostosis 1, autosomal recessive
S3666,amelogenesis imperfecta, type iv
S3667,trichodentoosseous syndrome
S3668,cardiomyopathy, dilated, 3b
S3669,dimethylglycine dehydrogenase deficiency
S3670,human herpesvirus 6 encephalitis
S3671,hypophosphatemia, familial
S3672,hypophosphatemic rickets, autosomal recessive, 1
S3673,dystrophia myotonica 1
S3674,ciliary dyskinesia, primary, 13
S3675,ciliary dyskinesia, primary, 10
S3676,ciliary dyskinesia, primary, 7
S3677,primary ciliary dyskinesia, 3
S3678,ciliary dyskinesia, primary, 9
S3679,3-methylglutaconic aciduria, type v
S3680,dysentery
S3681,charcot-marie-tooth disease, dominant intermediate b
S3682,myopathy, centronuclear, 1
S3683,hereditary sensory and autonomic neuropathies
S3684,immunodeficiency-centromeric instability-facial anomalies syndrome 1
S3685,hyper-ige recurrent infection syndrome, autosomal recessive
S3686,pena shokeir syndrome, type 1
S3687,congenital disorder of glycosylation, type im
S3688,congenital disorder of glycosylation type 1j
S3689,diffuse panbronchiolitis
S3690,congenital disorder of glycosylation type 1e
S3691,congenital disorder of glycosylation, type io
S3692,paroxysmal ventricular fibrillation
S3693,varicose veins
S3694,dihydropyrimidine dehydrogenase deficiency
S3695,dihydropyrimidinase deficiency
S3696,psychoses, alcoholic
S3697,westphal disease
S3698,tremor hereditary essential, 1
S3699,novelty seeking personality trait
S3700,benign essential blepharospasm
S3701,arrhythmogenic right ventricular dysplasia, familial, 11
S3702,hypotrichosis and recurrent skin vesicles
S3703,keratosis palmoplantaris striata 1
S3704,arrhythmogenic right ventricular dysplasia, familial, 10
S3705,cardiomyopathy, dilated, 1bb
S3706,arrhythmogenic right ventricular dysplasia, familial, 8
S3707,epidermolysis bullosa, lethal acantholytic
S3708,keratosis palmoplantaris striata ii
S3709,skin fragility-woolly hair syndrome
S3710,deafness, autosomal dominant 39, with dentinogenesis imperfecta 1
S3711,dentin dysplasia, type ii
S3712,dentinogenesis imperfecta
S3713,dentinogenesis imperfecta, shields type 3
S3714,left ventricular noncompaction 1
S3715,thyroid dyshormonogenesis 6
S3716,thyroid dyshormonogenesis 5
S3717,dyggve-melchior-clausen syndrome
S3718,smith-mccort dysplasia
S3719,asphyxiating thoracic dystrophy 3
S3720,short rib-polydactyly syndrome
S3721,short rib-polydactyly syndrome, verma-naumoff type
S3722,limb-girdle muscular dystrophy, type 2b
S3723,myopathy, distal, with anterior tibial onset
S3724,familial paroxysmal dystonia
S3725,chondrodysplasia punctata 2, x-linked dominant
S3726,erythrocytosis, familial, 2
S3727,hirschsprung disease
S3728,lipoid proteinosis of urbach and wiethe
S3729,ectodermal dysplasia 1, anhidrotic
S3730,tooth agenesis, selective, x-linked, 1
S3731,ectodermal dysplasia 3, anhidrotic
S3732,ectodermal dysplasia, hypohidrotic, autosomal recessive
S3733,waardenburg syndrome, type 4
S3734,waardenburg syndrome, type 4a
S3735,waardenburg syndrome, type 4b
S3736,abcd syndrome
S3737,doyne honeycomb retinal dystrophy
S3738,cutis laxa, autosomal recessive, type ia
S3739,craniofrontonasal dysplasia
S3740,frontonasal dysplasia
S3741,hypomagnesemia 4, renal
S3742,polycystic kidney, autosomal recessive
S3743,erythrocytosis, familial, 3
S3744,charcot-marie-tooth disease, type 1d
S3745,charcot-marie-tooth disease, type 4e
S3746,prostate cancer, hereditary, 12
S3747,kleefstra syndrome
S3748,wolcott-rallison syndrome
S3749,leukoencephalopathy with vanishing white matter
S3750,myoclonic epilepsy, familial infantile
S3751,cyclic neutropenia
S3752,neutropenia, severe congenital, 1, autosomal dominant
S3753,aortic stenosis, supravalvular
S3754,cutis laxa
S3755,cutis laxa, autosomal dominant 1
S3756,stargardt disease 3
S3757,muscular dystrophy, emery-dreifuss
S3758,bowen-conradi syndrome
S3759,schizencephaly
S3760,amelogenesis imperfecta
S3761,amelogenesis imperfecta, type ib
S3762,amelogenesis imperfecta, type ic
S3763,glycogen storage disease xiii
S3764,arterial calcification of infancy
S3765,hypophosphatemic rickets, autosomal recessive, 2
S3766,erythrocytosis, familial, 4
S3767,elliptocytosis 1
S3768,spherocytosis, type 5
S3769,colorectal cancer, hereditary nonpolyposis, type 8
S3770,diarrhea 5, with tufting enteropathy, congenital
S3771,lynch syndrome i (site-specific colonic cancer)
S3772,absent corpus callosum cataract immunodeficiency
S3773,cataract, age-related cortical, 2
S3774,prostate cancer/brain cancer susceptibility
S3775,microvascular complications of diabetes, susceptibility to, 2
S3776,polycythemia, primary familial and congenital
S3777,lethal congenital contracture syndrome 2
S3778,cerebrooculofacioskeletal syndrome 4
S3779,cerebrooculofacioskeletal syndrome 2
S3780,trichothiodystrophy, photosensitive;ttdp ichthyosiform erythroderma with hair abnormality and mental and growth
S3781,xeroderma pigmentosum, complementation group d
S3782,xeroderma pigmentosum, complementation group b
S3783,xeroderma pigmentosum, complementation group f
S3784,xfe progeroid syndrome
S3785,cerebrooculofacioskeletal syndrome 1
S3786,xeroderma pigmentosum, complementation group g
S3787,cockayne syndrome
S3788,de sanctis-cacchione syndrome
S3789,uv-sensitive syndrome 1
S3790,roberts syndrome
S3791,sc phocomelia syndrome
S3792,deafness, autosomal recessive 36, with or without vestibular involvement
S3793,pyometra
S3794,deafness, autosomal recessive 35
S3795,multiple acyl coenzyme a dehydrogenase deficiency
S3796,ethylmalonic encephalopathy
S3797,myeloproliferative disorder, chronic, with eosinophilia
S3798,ellis-van creveld syndrome
S3799,weyers acrofacial dysostosis
S3800,pontocerebellar hypoplasia type 1
S3801,exostoses, multiple hereditary
S3802,exostoses, multiple, type i
S3803,exostoses, multiple, type ii
S3804,branchio-oto-renal syndrome
S3805,branchiootorenal syndrome 1
S3806,otofaciocervical syndrome
S3807,cardiomyopathy, dilated, 1j
S3808,deafness, autosomal dominant 10
S3809,myelodysplastic-myeloproliferative diseases
S3810,factor x deficiency
S3811,factor xi deficiency
S3812,factor xii deficiency
S3813,factor xiii deficiency
S3814,prothrombin deficiency, congenital
S3815,factor v deficiency
S3816,thrombophilia due to activated protein c resistance
S3817,thrombophilia, hereditary
S3818,factor vii deficiency
S3819,hemophilia b
S3820,thrombophilia, x-linked, due to factor ix defect
S3821,spastic paraplegia 35, autosomal recessive
S3822,leukodystrophy, hypomyelinating, 5
S3823,neuropathy, hereditary sensory and autonomic, type iib
S3824,raine syndrome
S3825,toe syndactyly, telecanthus, and anogenital and renal malformations
S3826,amelogenesis imperfecta, type iii
S3827,megalocytic interstitial nephritis
S3828,fanconi anemia, complementation group b
S3829,vacterl association with hydrocephaly, x-linked
S3830,fanconi anemia, complementation group c
S3831,fanconi anemia, complementation group d2
S3832,fanconi anemia, complementation group e
S3833,fanconi anemia, complementation group f
S3834,fanconi anemia, complementation group i
S3835,synpolydactyly 2
S3836,cutis laxa, recessive
S3837,macular degeneration, age-related, 3
S3838,arachnodactyly
S3839,ectopia lentis
S3840,ectopia lentis 1, isolated, autosomal dominant
S3841,mass syndrome
S3842,shprintzen golberg craniosynostosis
S3843,stiff skin syndrome
S3844,congenital contractural arachnodactyly
S3845,fructose-1,6-diphosphatase deficiency
S3846,parkinson disease 15, autosomal recessive early-onset
S3847,fibrosis of extraocular muscles, congenital, 3a, with or without extraocular involvement
S3848,poikiloderma of kindler
S3849,leukocyte adhesion deficiency, type iii
S3850,amyloidosis, familial
S3851,aarskog syndrome
S3852,charcot-marie-tooth disease, type 4h
S3853,aplasia of lacrimal and salivary glands
S3854,lacrimoauriculodentodigital syndrome
S3855,spinocerebellar ataxia 27
S3856,carcinoid heart disease
S3857,periapical periodontitis
S3858,hypophosphatemic rickets, autosomal dominant
S3859,tumoral calcinosis, hyperphosphatemic, familial
S3860,deafness, congenital, with inner ear agenesis, microtia, and microdontia
S3861,22q11 deletion syndrome
S3862,multiple synostoses syndrome 3
S3863,antley-bixler syndrome without genital anomalies or disordered steroidogenesis
S3864,jackson-weiss syndrome
S3865,osteoglophonic dwarfism
S3866,pfeiffer type acrocephalosyndactyly
S3867,trigonocephaly 1
S3868,ankylosis
S3869,cutis gyrata syndrome of beare and stevenson
S3870,plagiocephaly, nonsynostotic
S3871,scaphocephaly, maxillary retrusion, and mental retardation
S3872,achondroplasia
S3873,catshl syndrome
S3874,crouzon syndrome with acanthosis nigricans
S3875,hypochondroplasia
S3876,muenke syndrome
S3877,nevus, epidermal
S3878,thanatophoric dysplasia
S3879,thanatophoric dysplasia, type 1
S3880,thanatophoric dysplasia, type 2
S3881,fumaric aciduria
S3882,leiomyomatosis and renal cell cancer, hereditary
S3883,reed&apos;s syndrome
S3884,myopathy, reducing body, x-linked, childhood-onset
S3885,myopathy, reducing body, x-linked, early-onset, severe
S3886,myopathy, x-linked, with postural muscle atrophy
S3887,scapuloperoneal myopathy, x-linked dominant
S3888,amyotrophic lateral sclerosis 11
S3889,charcot-marie-tooth disease, type 4j
S3890,premature ovarian failure 6
S3891,muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies), type a, 1
S3892,muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies), type a, 5
S3893,muscular dystrophy-dystroglycanopathy (congenital with or without mental retardation), type b, 5
S3894,muscular dystrophy-dystroglycanopathy (limb-girdle), type c, 5
S3895,walker-warburg syndrome
S3896,cardiomyopathy, dilated, 1x
S3897,muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies), type a, 4
S3898,muscular dystrophy-dystroglycanopathy (congenital without mental retardation), type b, 4
S3899,muscular dystrophy-dystroglycanopathy (limb-girdle), type c, 4
S3900,birt-hogg-dube syndrome
S3901,oncocytoma, renal
S3902,pneumothorax, primary spontaneous
S3903,dermatitis, atopic, 2
S3904,ichthyosis vulgaris
S3905,cardiac valvular dysplasia, x-linked
S3906,congenital idiopathic intestinal pseudoobstruction
S3907,frontometaphyseal dysplasia
S3908,heterotopia, periventricular, ehlers-danlos variant
S3909,heterotopia, periventricular, x-linked dominant
S3910,oto-palato-digital syndrome type 1
S3911,oto-palato-digital syndrome, type 2
S3912,terminal osseous dysplasia
S3913,atelosteogenesis, type 1
S3914,atelosteogenesis, type iii
S3915,boomerang dysplasia
S3916,larsen syndrome, dominant type
S3917,spondylocarpotarsal synostosis
S3918,filaminopathy, autosomal dominant
S3919,lymphedema, hereditary, ia
S3920,posterior column ataxia with retinitis pigmentosa
S3921,encephaloclastic proliferative vasculopathy
S3922,amyotrophic lateral sclerosis, sporadic
S3923,fragile x mental retardation syndrome
S3924,fragile x tremor ataxia syndrome
S3925,glomerulopathy with fibronectin deposits
S3926,keratoconus
S3927,brain diseases, metabolic, inborn
S3928,neurodegeneration due to cerebral folate transport deficiency
S3929,amyloid neuropathies, familial
S3930,embolism, amniotic fluid
S3931,axenfeld-rieger syndrome, type 1
S3932,axenfeld-rieger syndrome, type 3
S3933,iridogoniodysgenesis, type 1
S3934,lymphedema distichiasis syndrome
S3935,lymphedema, hereditary, ii
S3936,yellow nail syndrome
S3937,aphakia, congenital primary
S3938,rett syndrome, congenital variant
S3939,deafness, autosomal recessive 4, with enlarged vestibular aqueduct
S3940,blepharophimosis, ptosis, and epicanthus inversus
S3941,blepharophimosis syndrome type 1
S3942,bpes with duane retraction syndrome
S3943,premature ovarian failure 3
S3944,t-cell immunodeficiency, congenital alopecia and nail dystrophy
S3945,mental retardation with language impairment and autistic features
S3946,speech-language disorder 1
S3947,immunodysregulation, polyendocrinopathy, and enteropathy, x-linked
S3948,mitochondrial complex i deficiency
S3949,fraser syndrome
S3950,bifid nose
S3951,bifid nose with or without anorectal and renal anomalies
S3952,hereditary renal agenesis
S3953,marles greenberg persaud syndrome
S3954,nystagmus 1, congenital, x- linked
S3955,retinitis pigmentosa 30
S3956,follicle-stimulating hormone deficiency, isolated
S3957,facioscapulohumeral muscular dystrophy 1b
S3958,ovarian dysgenesis 1
S3959,glutamate formiminotransferase deficiency
S3960,hyperferritinemia, hereditary, with congenital cataracts
S3961,neurodegeneration with brain iron accumulation 3
S3962,growth retardation, developmental delay, coarse facies, and early death
S3963,mental retardation, x-linked 9
S3964,fucosidosis
S3965,amyotrophic lateral sclerosis 6, autosomal recessive
S3966,caliciviridae infections
S3967,vitamin b12 plasma level quantitative trait locus 1
S3968,exudative vitreoretinopathy 1
S3969,glycogen storage disease type i
S3970,neutropenia, severe congenital, 4, autosomal recessive
S3971,anemia, hemolytic, congenital nonspherocytic
S3972,favism
S3973,phagocyte bactericidal dysfunction
S3974,glycogen storage disease type ii
S3975,entropion
S3976,generalized epilepsy with febrile seizures plus, type 1
S3977,generalized epilepsy with febrile seizures plus, type 3
S3978,cerebral palsy, spastic quadriplegic, 1
S3979,leukodystrophy, globoid cell
S3980,galactosemias
S3981,mucopolysaccharidosis iv
S3982,guanidinoacetate methyltransferase deficiency
S3983,giant axonal neuropathy
S3984,charcot-marie-tooth disease, type 2d
S3985,thrombocytopenia with beta-thalassemia, x-linked
S3986,thrombocytopenia, x-linked, with or without dyserythropoietic anemia
S3987,barakat syndrome
S3988,arginine:glycine amidinotransferase deficiency
S3989,gaucher disease, perinatal lethal
S3990,gaucher-like disease
S3991,glycogen storage disease type iv
S3992,glucocorticoid deficiency 2
S3993,glutaric aciduria 1
S3994,hyperphenylalaninemia, bh4-deficient, b
S3995,hyperinsulinemic hypoglycemia, familial, 3
S3996,maturity-onset diabetes of the young
S3997,maturity-onset diabetes of the young, type 2
S3998,gamma-glutamylcysteine synthetase deficiency, hemolytic anemia due to
S3999,cataract, congenital or juvenile
S4000,charcot-marie-tooth disease, axonal, with vocal cord paresis, autosomal recessive
S4001,charcot-marie-tooth disease, recessive intermediate a
S4002,charcot-marie-tooth disease, type 2k
S4003,charcot-marie-tooth disease, type 4a
S4004,klippel-feil syndrome 3, autosomal dominant
S4005,microphthalmia, isolated 7
S4006,microphthalmia, isolated, with coloboma 6
S4007,acromesomelic dysplasia hunter-thompson type
S4008,brachydactyly type c
S4009,chondrodysplasia, grebe type
S4010,cushing&apos;s symphalangism
S4011,fibular hypoplasia and complex brachydactyly
S4012,multiple synostoses syndrome 2
S4013,klippel-feil syndrome
S4014,klippel feil syndrome dominant type
S4015,microphthalmia, isolated 4
S4016,spondylocostal dysostosis 5, autosomal dominant
S4017,mental retardation, x-linked 3
